"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Kosovo","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",42.25,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Lao People's Democratic Republic","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",41.53,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Lebanon","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2019",47.57,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Liberia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2017",47.64,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Saint Lucia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",39.75,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Sri Lanka","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",43.02,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Lesotho","LFS - Integrated Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",49.26,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Lithuania","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.67,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Luxembourg","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",35.58,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Latvia","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.1,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Macau, China","LFS - Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2016",46,,,"Central tendency measure: Median | Working time concept: Hours usually worked","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Morocco","LFS - National Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",44,,,"Employment definition: Excluding own-use production workers | Job coverage: Main and second job currently held",
"Republic of Moldova","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",39.42,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Madagascar","HS - Periodic Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",35.03,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Maldives","HIES - Household Income and Expenditure Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2019",46.48,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Mexico","LFS - National Occupation and Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2026",41.81,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Marshall Islands","PC - Population Census","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",37.9,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"North Macedonia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",39.39,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Mali","LFS - Continous Household Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",42.29,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Malta","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.71,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Myanmar","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",44.65,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First semester"
